urban_system_id,city,country_code,country_name,population_raw,population_year,environment_score,pm25_raw,environment_pm25_score,pm25_year,green_area_raw,environment_green_score,green_area_year,mobility_score,public_transport_raw,public_transport_score,public_transport_year,economic_opportunity_score,employment_raw,employment_score,employment_year,unemployment_raw,unemployment_score,unemployment_year,commuting_pt_raw,commuting_pt_year,commuting_pt_staleness,commuting_bike_raw,commuting_bike_year,commuting_bike_staleness,commuting_walk_raw,commuting_walk_year,commuting_walk_staleness,commuting_car_raw,commuting_car_year,commuting_car_staleness,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
AT001,Wien,AT,Austria,3231239,2025,32.99,28.741935554418838,50.66,2025,83,15.33,2021,3.71,66.4,3.71,2023,,68.2,36.16,2024,,,,,,,,,,,,,,,,70.0,2023,58.75,2023,69.38,2023,30.0,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE001,Bruxelles,BE,Belgium,3654721,2025,48.86,23.695006059515492,80.06,2025,87,17.66,2021,66.84,96.6,66.84,2023,,,,,,,,13,2011,stale_commuting_context,4.1,2011,stale_commuting_context,3.5,2011,stale_commuting_context,74.1,2011,stale_commuting_context,21.25,2023,26.25,2023,58.13,2023,18.75,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE002,Antwerpen,BE,Belgium,1268760,2025,79.59,23.506325325814366,81.09,2025,194,78.09,2021,27.45,89,27.45,2023,,,,,,,,4.7,2011,stale_commuting_context,18.7,2011,stale_commuting_context,2.8,2011,stale_commuting_context,67.3,2011,stale_commuting_context,55.0,2023,45.0,2023,95.62,2023,45.0,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE003,Gent,BE,Belgium,703869,2025,78.09,25.66354079758271,68.69,2025,221,87.48,2021,40.98,93.3,40.98,2023,,,,,,,,3.2,2011,stale_commuting_context,14.9,2011,stale_commuting_context,1.4,2011,stale_commuting_context,75.5,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE004,Charleroi,BE,Belgium,458734,2025,92.99,21.33867850385429,90.55,2025,257,95.43,2021,55.17,95.4,55.17,2023,,,,,,,,3.3,2011,stale_commuting_context,0.8,2011,stale_commuting_context,4.7,2011,stale_commuting_context,87,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE005,Liège,BE,Belgium,818256,2025,81.94,23.117345305350856,83.46,2025,198,80.42,2021,56.5,95.6,56.5,2023,,,,,,,,4.4,2011,stale_commuting_context,1.8,2011,stale_commuting_context,3.8,2011,stale_commuting_context,84.7,2011,stale_commuting_context,6.25,2023,27.5,2023,41.25,2023,58.75,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE006,Brugge,BE,Belgium,246526,2025,69.11,28.26937173743607,53.62,2025,208,84.59,2021,22.94,87.4,22.94,2023,,,,,,,,3.8,2011,stale_commuting_context,16.1,2011,stale_commuting_context,2.4,2011,stale_commuting_context,73.8,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE007,Namur,BE,Belgium,288933,2025,,23.750619046643646,79.76,2025,,,,36.07,91.9,36.07,2023,,,,,,,,2.9,2011,stale_commuting_context,1.6,2011,stale_commuting_context,3.3,2011,stale_commuting_context,86.3,2011,stale_commuting_context,,,,,,,,,1,14.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0
BE009,Mons,BE,Belgium,257148,2025,80.19,27.261576320635474,60.86,2025,339,99.52,2021,44.3,93.8,44.3,2023,,,,,,,,4.3,2011,stale_commuting_context,1.3,2011,stale_commuting_context,5,2011,stale_commuting_context,85.1,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE010,Kortrijk,BE,Belgium,238318,2025,79.31,26.53492333790812,64.4,2025,245,94.22,2021,53.18,95.2,53.18,2023,,,,,,,,2.5,2011,stale_commuting_context,,,,,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE011,Oostende,BE,Belgium,133384,2025,48.02,27.805342561876447,56.87,2025,125,39.17,2021,52.39,95.1,52.39,2023,,,,,,,,3.6,2011,stale_commuting_context,16.2,2011,stale_commuting_context,2.1,2011,stale_commuting_context,69.2,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BG001,Sofia,BG,Bulgaria,1534725,2025,23.67,36.58647886263146,22.3,2025,99,25.04,2021,,,,,79.9,73.6,67.9,2024,2.8,91.89,2024,24,2011,stale_commuting_context,18.3,2011,stale_commuting_context,24,2011,stale_commuting_context,25.7,2011,stale_commuting_context,11.25,2023,3.75,2023,16.88,2023,77.5,2023,6,85.7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4
BG002,Plovdiv,BG,Bulgaria,543968,2025,9.21,41.42869148789353,13.59,2025,50,4.82,2021,,,,,63.9,68.9,38.93,2024,3,88.87,2024,28.2,2011,stale_commuting_context,12.6,2011,stale_commuting_context,18,2011,stale_commuting_context,29.9,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
BG003,Varna,BG,Bulgaria,426850,2025,39.62,30.56281517283096,42.39,2025,122,36.84,2021,,,,,73.36,73.9,70.3,2024,4,76.42,2024,31,2011,stale_commuting_context,8.3,2011,stale_commuting_context,18.5,2011,stale_commuting_context,30,2011,stale_commuting_context,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
BG004,Burgas,BG,Bulgaria,255381,2025,23.5,35.80414783536726,24.22,2025,96,22.79,2021,,,,,57.91,70.3,50.92,2024,4.9,64.91,2024,21.6,2011,stale_commuting_context,18.4,2011,stale_commuting_context,24.4,2011,stale_commuting_context,19.8,2011,stale_commuting_context,35.0,2023,33.75,2023,28.75,2023,79.38,2023,6,85.7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4
CH001,Bern,CH,Switzerland,758054,2023,56.22,35.09933145629835,26.74,2025,212,85.71,2021,44.3,93.8,44.3,2023,91.78,79.8,93.36,2022,2.9,90.19,2022,36,2024,current,11.3,2024,current,7.4,2024,current,44.1,2024,current,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
CH002,Zürich,CH,Switzerland,2130572,2023,39.98,39.476199328843514,15.66,2025,163,64.29,2021,80.37,97.7,80.37,2023,85.76,78.9,91.14,2022,3.6,80.38,2022,43.6,2024,current,7.4,2024,current,6.7,2024,current,41.4,2024,current,96.25,2023,96.25,2023,100.0,2023,7.5,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
CH003,Genève,CH,Switzerland,629801,2023,26.92,32.48719250905548,35.3,2025,89,18.54,2021,87.93,98.3,87.93,2023,12.86,61.2,14.02,2022,10.1,11.7,2022,45.7,2024,current,10.3,2024,current,11.5,2024,current,27.3,2024,current,75.0,2023,66.25,2023,82.5,2023,1.25,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
CH004,Basel,CH,Switzerland,590138,2023,33.12,38.55746923388556,17.28,2025,140,48.96,2021,83.29,97.9,83.29,2023,71.54,74.1,72.14,2022,4.4,70.94,2022,38.3,2024,current,16,2024,current,8.2,2024,current,36,2024,current,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
CH005,Lausanne,CH,Switzerland,681698,2023,32.22,35.08481420633991,26.88,2025,123,37.56,2021,66.84,96.6,66.84,2023,40.86,69.6,40.59,2022,7,41.13,2022,36.7,2024,current,3.9,2024,current,9.5,2024,current,48.3,2024,current,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
CH006,Lucerne,CH,Switzerland,338998,2023,54.76,34.088553938726236,29.1,2025,198,80.42,2021,47.08,94,47.08,2023,,,,,,,,27.7,2024,current,12.3,2024,current,8.9,2024,current,49.4,2024,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
CH008,Lugano,CH,Switzerland,174791,2023,40.98,42.018467231397054,12.7,2025,173,69.26,2021,77.06,97.5,77.06,2023,,,,,,,,21.5,2024,current,4.2,2024,current,12.1,2024,current,57.9,2024,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
CH009,St. Gallen,CH,Switzerland,302480,2023,56.16,36.20455742295138,23.49,2025,224,88.84,2021,40.98,93.3,40.98,2023,,,,,,,,26.7,2024,current,7.1,2024,current,9.8,2024,current,55.5,2024,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
CH010,Biel/Bienne,CH,Switzerland,142766,2023,35.81,33.76956597930609,30.13,2025,128,41.49,2021,78.78,97.6,78.78,2023,,,,,,,,27.6,2024,current,10.7,2024,current,8.2,2024,current,52.8,2024,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
CZ001,Praha,CZ,Czechia,2286475,2025,34.87,35.06330850444776,27.03,2025,130,42.7,2021,80.37,97.7,80.37,2023,89.66,75.9,79.89,2022,1.5,99.43,2022,41.4,2021,current,1.6,2021,current,6.6,2021,current,42.2,2021,current,26.25,2023,15.0,2023,75.62,2023,37.5,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
CZ002,Brno,CZ,Czechia,780906,2025,43.36,32.44498117683241,35.75,2025,143,50.96,2021,,,,,85.05,74,71.22,2022,1.9,98.87,2022,33.6,2021,current,2.7,2021,current,8.4,2021,current,49,2021,current,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
CZ003,Ostrava,CZ,Czechia,606008,2025,57.64,37.21926512604085,20.83,2025,247,94.46,2021,,,,,69.02,72.5,61.62,2022,4,76.42,2022,27,2021,current,2.8,2021,current,7.6,2021,current,57.1,2021,current,8.75,2023,10.0,2023,67.5,2023,86.25,2023,6,85.7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4
CZ004,Plzeň,CZ,Czechia,370828,2025,59.65,29.263556869713916,47.86,2025,177,71.43,2021,,,,,87.07,74.9,75.65,2022,2.1,98.49,2022,22.7,2021,current,2.7,2021,current,8,2021,current,59.6,2021,current,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
CZ006,Olomouc,CZ,Czechia,223526,2025,40.39,30.965342611955226,40.18,2025,127,40.61,2021,1.06,51.6,1.06,2023,,,,,,,,20.4,2021,current,7.5,2021,current,12.1,2021,current,54.4,2021,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
CZ007,Liberec,CZ,Czechia,228071,2025,63.68,32.12490074778737,36.34,2025,231,91.01,2021,8.22,74.7,8.22,2023,,,,,,,,21.4,2021,current,1.8,2021,current,13.6,2021,current,55.3,2021,current,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
DE001,Berlin,DE,Germany,5080569,2025,38.72,31.129448051728026,39.88,2025,123,37.56,2021,81.7,97.8,81.7,2023,44.65,74.2,72.88,2021,9.2,16.42,2021,33.5,2016,stale_commuting_context,11.9,2016,stale_commuting_context,5.7,2016,stale_commuting_context,47.6,2016,stale_commuting_context,22.5,2023,41.25,2023,85.62,2023,22.5,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE002,Hamburg,DE,Germany,3286152,2025,70.19,27.451392355505213,59.23,2025,199,81.14,2021,75.73,97.4,75.73,2023,62.2,76.2,81.0,2021,6.9,43.4,2021,28.6,2016,stale_commuting_context,10.2,2016,stale_commuting_context,6.2,2016,stale_commuting_context,54.1,2016,stale_commuting_context,62.5,2023,81.25,2023,61.25,2023,5.0,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE003,München,DE,Germany,3002043,2025,31.91,31.51359709555515,37.81,2025,102,26.0,2021,64.46,96.4,64.46,2023,79.98,77.2,85.06,2021,4.1,74.91,2021,32.1,2016,stale_commuting_context,9.9,2016,stale_commuting_context,7,2016,stale_commuting_context,49.8,2016,stale_commuting_context,67.5,2023,83.75,2023,88.12,2023,2.5,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE004,Köln,DE,Germany,2315968,2025,60.46,29.578323289874497,46.68,2025,184,74.24,2021,75.73,97.4,75.73,2023,35.73,70.5,52.58,2021,9,18.87,2021,24.1,2016,stale_commuting_context,10,2016,stale_commuting_context,6.4,2016,stale_commuting_context,58.5,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE005,Frankfurt am Main,DE,Germany,2668350,2025,48.45,30.4720865902796,43.13,2025,146,53.77,2021,90.58,98.5,90.58,2023,59.0,72.6,63.1,2021,6.2,54.91,2021,22.9,2016,stale_commuting_context,7.1,2016,stale_commuting_context,8.8,2016,stale_commuting_context,60.1,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE006,Ruhrgebiet,DE,Germany,1880205,2025,64.58,30.92363069762172,40.32,2025,224,88.84,2021,83.29,97.9,83.29,2023,24.18,68.9,38.93,2021,10.9,9.43,2021,,,,,,,,,,,,,36.88,2023,60.0,2023,82.5,2023,48.75,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE007,Stuttgart,DE,Germany,2548138,2025,41.59,38.71857296589441,17.13,2025,167,66.05,2021,87.0,98.2,87.0,2023,79.01,77.7,87.08,2021,4.4,70.94,2021,19.1,2016,stale_commuting_context,4.9,2016,stale_commuting_context,9.7,2016,stale_commuting_context,65.2,2016,stale_commuting_context,30.0,2023,65.0,2023,47.5,2023,21.25,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE008,Leipzig,DE,Germany,965170,2025,60.27,30.04539608699363,44.31,2025,189,76.24,2021,77.06,97.5,77.06,2023,54.17,74.2,72.88,2021,7.4,35.47,2021,16.1,2016,stale_commuting_context,13.4,2016,stale_commuting_context,7.1,2016,stale_commuting_context,62.5,2016,stale_commuting_context,36.88,2023,80.0,2023,90.0,2023,66.25,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
DE009,Dresden,DE,Germany,975419,2025,60.47,30.48271574860043,42.84,2025,194,78.09,2021,88.99,98.4,88.99,2023,68.02,76.9,83.39,2021,6.3,52.64,2021,15,2016,stale_commuting_context,11.6,2016,stale_commuting_context,7.8,2016,stale_commuting_context,63.9,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE011,Düsseldorf,DE,Germany,1685169,2025,52.56,29.998577018468524,44.61,2025,157,60.51,2021,88.99,98.4,88.99,2023,47.01,72.8,64.39,2021,7.8,29.62,2021,20.7,2016,stale_commuting_context,7.4,2016,stale_commuting_context,8.1,2016,stale_commuting_context,62.6,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE012,Bremen,DE,Germany,1069555,2025,68.37,28.139443710473675,54.8,2025,201,81.94,2021,47.08,94,47.08,2023,42.14,72.3,60.33,2021,8.6,23.96,2021,13.7,2016,stale_commuting_context,15.7,2016,stale_commuting_context,5.9,2016,stale_commuting_context,63.6,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE013,Hannover,DE,Germany,1275536,2025,58.56,30.700768885993686,41.36,2025,188,75.76,2021,78.78,97.6,78.78,2023,45.48,73,65.31,2021,8.2,25.66,2021,21.7,2016,stale_commuting_context,12.8,2016,stale_commuting_context,6.4,2016,stale_commuting_context,57.8,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE014,Nürnberg,DE,Germany,1526691,2025,42.91,31.236776495228117,39.44,2025,137,46.39,2021,78.78,97.6,78.78,2023,77.47,78.7,90.04,2021,4.9,64.91,2021,16.5,2016,stale_commuting_context,8.8,2016,stale_commuting_context,8,2016,stale_commuting_context,65.2,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE016,Bielefeld,DE,Germany,547918,2025,78.65,27.229123127774326,61.15,2025,265,96.15,2021,93.5,98.7,93.5,2023,49.0,74,71.22,2021,8.1,26.79,2021,19.4,2016,stale_commuting_context,6.9,2016,stale_commuting_context,8.1,2016,stale_commuting_context,65,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE017,Halle an der Saale,DE,Germany,357170,2025,60.53,28.76708494479225,50.52,2025,175,70.55,2021,65.52,96.5,65.52,2023,40.98,72.6,63.1,2021,9,18.87,2021,16.3,2016,stale_commuting_context,9.5,2016,stale_commuting_context,8.2,2016,stale_commuting_context,65.1,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE018,Magdeburg,DE,Germany,426444,2025,69.44,26.756038728517847,62.63,2025,189,76.24,2021,50.66,94.8,50.66,2023,50.39,74.4,73.99,2021,8.1,26.79,2021,11.8,2016,stale_commuting_context,10.7,2016,stale_commuting_context,6,2016,stale_commuting_context,70.7,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE019,Wiesbaden,DE,Germany,429818,2025,55.64,27.384560524466806,59.68,2025,144,51.61,2021,84.48,98,84.48,2023,51.53,72.8,64.39,2021,7.2,38.68,2021,16.8,2016,stale_commuting_context,2.9,2016,stale_commuting_context,10.5,2016,stale_commuting_context,68.7,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE020,Göttingen,DE,Germany,263727,2025,51.2,29.6156520722728,46.23,2025,150,56.18,2021,44.3,93.8,44.3,2023,61.5,73.3,66.97,2021,6.1,56.04,2021,7.6,2016,stale_commuting_context,10.8,2016,stale_commuting_context,11,2016,stale_commuting_context,69.3,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE023,Darmstadt,DE,Germany,427250,2025,49.07,29.819800738705865,45.49,2025,145,52.65,2021,70.82,97.1,70.82,2023,62.83,73.2,66.05,2021,5.7,59.62,2021,16.6,2016,stale_commuting_context,10.8,2016,stale_commuting_context,7,2016,stale_commuting_context,64.6,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE024,Trier,DE,Germany,268614,2025,70.42,26.256626341006868,65.88,2025,186,74.96,2021,60.48,96,60.48,2023,41.26,60.7,13.65,2021,4.6,68.87,2021,10.8,2016,stale_commuting_context,4.4,2016,stale_commuting_context,9,2016,stale_commuting_context,74.6,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE025,Freiburg im Breisgau,DE,Germany,598996,2025,43.25,30.50563386692421,42.69,2025,132,43.82,2021,63.0,96.2,63.0,2023,74.23,75,76.2,2021,4.3,72.26,2021,18.2,2016,stale_commuting_context,16.6,2016,stale_commuting_context,8.4,2016,stale_commuting_context,55.4,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE026,Regensburg,DE,Germany,449413,2025,45.72,30.887992255188855,40.47,2025,143,50.96,2021,58.89,95.9,58.89,2023,84.75,78.5,89.11,2021,3.6,80.38,2021,8.1,2016,stale_commuting_context,8.8,2016,stale_commuting_context,6.6,2016,stale_commuting_context,75,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
DE030,Erfurt,DE,Germany,355865,2025,65.75,26.701888835576785,63.37,2025,170,68.14,2021,74.27,97.3,74.27,2023,64.09,76.2,81.0,2021,6.5,47.17,2021,12.3,2016,stale_commuting_context,8.3,2016,stale_commuting_context,11.5,2016,stale_commuting_context,66.1,2016,stale_commuting_context,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
