urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
AT001,Wien,AT,Austria,32.99,50.66,2025,15.33,2021,3.71,3.71,2023,,36.16,2024,,,70.0,2023,58.75,2023,69.38,2023,30.0,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
AT002,Graz,AT,Austria,33.73,33.68,2025,33.79,2021,,,,,44.65,2024,,,61.25,2023,76.25,2023,56.25,2023,38.75,2023,5,71.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4
AT003,Linz,AT,Austria,42.0,50.22,2025,33.79,2021,,,,,78.78,2024,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
AT004,Salzburg,AT,Austria,53.31,39.29,2025,67.34,2021,,,,,81.73,2024,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
AT005,Innsbruck,AT,Austria,42.28,66.03,2025,18.54,2021,,,,,88.56,2024,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
AT006,Klagenfurt,AT,Austria,45.0,38.4,2025,51.61,2021,,,,,60.89,2024,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
BE001,Bruxelles,BE,Belgium,48.86,80.06,2025,17.66,2021,66.84,66.84,2023,,,,,,21.25,2023,26.25,2023,58.13,2023,18.75,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE002,Antwerpen,BE,Belgium,79.59,81.09,2025,78.09,2021,27.45,27.45,2023,,,,,,55.0,2023,45.0,2023,95.62,2023,45.0,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
BE003,Gent,BE,Belgium,78.09,68.69,2025,87.48,2021,40.98,40.98,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
BE004,Charleroi,BE,Belgium,92.99,90.55,2025,95.43,2021,55.17,55.17,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
