urban_system_id,city,country_code,country_name,environment_score,mobility_score,economic_opportunity_score,perceived_safety_score,perceived_safety_raw_share,perceived_safety_year,perceived_safety_source_geo,community_score,community_raw_share,community_year,community_source_geo,life_satisfaction_score,life_satisfaction_raw_share,life_satisfaction_year,life_satisfaction_source_geo,housing_satisfaction_score,housing_satisfaction_raw_share,housing_satisfaction_year,housing_satisfaction_source_geo,n_perception_dimensions,profile_dimensions_available,profile_coverage_pct,radar_eligible
CH002,Zürich,CH,Switzerland,39.98,80.37,85.76,96.25,84.2,2023,CH002C,96.25,82.5,2023,CH002C,100.0,94.2,2023,CH002C,7.5,11.0,2023,CH002C,4,7,100.0,TRUE
CH003,Genève,CH,Switzerland,26.92,87.93,12.86,75.0,77.4,2023,CH003C,66.25,69.3,2023,CH003C,82.5,88.0,2023,CH003C,1.25,7.7,2023,CH003C,4,7,100.0,TRUE
CZ001,Praha,CZ,Czechia,34.87,80.37,89.66,26.25,60.7,2023,CZ001C,15.0,47.5,2023,CZ001C,75.62,86.9,2023,CZ001C,37.5,24.0,2023,CZ001C,4,7,100.0,TRUE
DE001,Berlin,DE,Germany,38.72,81.7,44.65,22.5,58.8,2023,DE001C,41.25,62.2,2023,DE001C,85.62,88.1,2023,DE001C,22.5,18.5,2023,DE001C,4,7,100.0,TRUE
DE002,Hamburg,DE,Germany,70.19,75.73,62.2,62.5,73.5,2023,DE002C,81.25,75.6,2023,DE002C,61.25,85.9,2023,DE002C,5.0,10.6,2023,DE002C,4,7,100.0,TRUE
DE003,München,DE,Germany,31.91,64.46,79.98,67.5,76.5,2023,DE003C,83.75,76.7,2023,DE003C,88.12,88.4,2023,DE003C,2.5,10.1,2023,DE003C,4,7,100.0,TRUE
DE006,Ruhrgebiet,DE,Germany,64.58,83.29,24.18,36.88,65.3,2023,DE006C,60.0,67.1,2023,DE006C,82.5,88.0,2023,DE006C,48.75,29.6,2023,DE006C,4,7,100.0,TRUE
DE007,Stuttgart,DE,Germany,41.59,87.0,79.01,30.0,63.3,2023,DE007C,65.0,68.1,2023,DE007C,47.5,84.2,2023,DE007C,21.25,17.7,2023,DE007C,4,7,100.0,TRUE
DE008,Leipzig,DE,Germany,60.27,77.06,54.17,36.88,65.3,2023,DE008C,80.0,74.7,2023,DE008C,90.0,88.5,2023,DE008C,66.25,37.1,2023,DE008C,4,7,100.0,TRUE
DE040,Rostock,DE,Germany,82.2,55.17,57.71,68.75,76.7,2023,DE040C,87.5,77.7,2023,DE040C,92.5,89.1,2023,DE040C,17.5,16.6,2023,DE040C,4,7,100.0,TRUE
EE001,Tallinn,EE,Estonia,63.2,56.1,58.39,76.25,77.5,2023,EE001C,31.25,55.7,2023,EE001C,48.75,84.2,2023,EE001C,43.75,27.9,2023,EE001C,4,7,100.0,TRUE
ES001,Madrid,ES,Spain,44.53,44.3,35.71,48.12,69.0,2023,ES001C,48.75,64.8,2023,ES001C,33.75,82.0,2023,ES001C,55.0,31.5,2023,ES001C,4,7,100.0,TRUE
ES002,Barcelona,ES,Spain,30.27,7.16,39.28,40.0,67.0,2023,ES002C,61.25,67.3,2023,ES002C,21.25,77.4,2023,ES002C,40.0,25.4,2023,ES002C,4,7,100.0,TRUE
ES006,Málaga,ES,Spain,43.02,7.96,9.26,83.12,79.4,2023,ES006C,73.75,72.6,2023,ES006C,50.0,84.4,2023,ES006C,90.0,49.0,2023,ES006C,4,7,100.0,TRUE
FI001,Helsinki/Helsingfors,FI,Finland,85.26,29.44,41.89,81.25,79.1,2023,FI001C,85.0,77.1,2023,FI001C,73.75,86.7,2023,FI001C,16.25,16.0,2023,FI001C,4,7,100.0,TRUE
FI004,Oulu/Uleåborg,FI,Finland,97.34,18.7,42.66,88.75,81.5,2023,FI004C,93.75,82.1,2023,FI004C,58.13,85.8,2023,FI004C,100.0,65.2,2023,FI004C,4,7,100.0,TRUE
FR001,Paris,FR,France,30.57,45.62,32.4,32.5,64.8,2023,FR001C,18.75,48.8,2023,FR001C,25.0,79.5,2023,FR001C,8.75,11.9,2023,FR001C,4,7,100.0,TRUE
FR003,Lille,FR,France,35.12,12.6,19.88,16.25,53.7,2023,FR003C,28.75,55.2,2023,FR003C,31.25,81.6,2023,FR003C,52.5,30.2,2023,FR003C,4,7,100.0,TRUE
FR004,Marseille,FR,France,42.96,5.04,32.49,3.75,42.3,2023,FR004C,8.75,41.1,2023,FR004C,36.25,82.3,2023,FR004C,46.25,28.3,2023,FR004C,4,7,100.0,TRUE
FR016,Rennes,FR,France,52.88,7.69,59.42,46.25,68.8,2023,FR016C,56.88,66.1,2023,FR016C,65.62,86.1,2023,FR016C,79.38,42.2,2023,FR016C,4,7,100.0,TRUE
HU001,Budapest,HU,Hungary,27.08,51.33,89.67,18.75,58.2,2023,HU001C,6.25,40.5,2023,HU001C,14.37,74.4,2023,HU001C,27.5,20.1,2023,HU001C,4,7,100.0,TRUE
HU002,Miskolc,HU,Hungary,54.2,53.18,32.73,10.0,45.6,2023,HU002C,5.0,35.7,2023,HU002C,6.25,68.8,2023,HU002C,63.75,35.6,2023,HU002C,4,7,100.0,TRUE
IE001,Dublin,IE,Ireland,63.62,20.42,75.58,48.12,69.0,2023,IE001C,75.0,72.7,2023,IE001C,32.5,81.9,2023,IE001C,20.0,17.2,2023,IE001C,4,7,100.0,TRUE
IT001,Roma,IT,Italy,14.04,3.18,39.64,1.25,36.8,2023,IT001C,16.25,47.7,2023,IT001C,11.88,73.4,2023,IT001C,42.5,26.4,2023,IT001C,4,7,100.0,TRUE
IT003,Napoli,IT,Italy,24.5,0.27,1.11,5.0,42.6,2023,IT003C,30.0,55.3,2023,IT003C,5.0,68.0,2023,IT003C,87.5,48.0,2023,IT003C,4,7,100.0,TRUE
IT005,Palermo,IT,Italy,24.53,5.44,2.25,13.75,51.1,2023,IT005C,23.75,51.7,2023,IT005C,8.75,71.8,2023,IT005C,96.25,58.3,2023,IT005C,4,7,100.0,TRUE
LT001,Vilnius,LT,Lithuania,73.44,14.59,70.53,57.5,72.7,2023,LT001C,56.88,66.1,2023,LT001C,53.75,85.0,2023,LT001C,56.25,31.6,2023,LT001C,4,7,100.0,TRUE
LU001,Luxembourg,LU,Luxembourg,54.4,58.89,42.7,90.0,81.9,2023,LU001C,90.0,78.7,2023,LU001C,97.5,91.2,2023,LU001C,11.25,13.8,2023,LU001C,4,7,100.0,TRUE
LV001,Riga,LV,Latvia,67.59,25.86,59.8,52.5,70.0,2023,LV001C,11.25,43.8,2023,LV001C,20.0,77.0,2023,LV001C,33.75,23.2,2023,LV001C,4,7,100.0,TRUE
NL001,Amsterdam,NL,Netherlands,56.3,37.14,87.28,72.5,77.0,2023,NL001C,55.0,66.0,2023,NL001C,82.5,88.0,2023,NL001C,15.0,15.8,2023,NL001C,4,7,100.0,TRUE
NL018,Groningen,NL,Netherlands,61.3,18.17,79.46,95.0,83.9,2023,NL018C,95.0,82.4,2023,NL018C,46.25,84.0,2023,NL018C,68.75,37.6,2023,NL018C,4,7,100.0,TRUE
NL037,Rotterdam,NL,Netherlands,55.1,23.47,85.42,59.38,73.1,2023,NL037C,50.0,65.0,2023,NL037C,71.25,86.5,2023,NL037C,51.25,30.0,2023,NL037C,4,7,100.0,TRUE
NO001,Oslo,NO,Norway,72.25,63.0,80.88,86.25,80.2,2023,NO001C,92.5,81.2,2023,NO001C,78.75,87.5,2023,NO001C,31.87,22.4,2023,NO001C,4,7,100.0,TRUE
PL001,Warszawa,PL,Poland,26.19,15.12,93.02,71.25,76.9,2023,PL001C,17.5,48.2,2023,PL001C,69.38,86.4,2023,PL001C,25.0,19.3,2023,PL001C,4,7,100.0,TRUE
PL003,Kraków,PL,Poland,33.49,6.9,70.97,73.75,77.1,2023,PL003C,32.5,56.1,2023,PL003C,72.5,86.6,2023,PL003C,41.25,26.3,2023,PL003C,4,7,100.0,TRUE
PL006,Gdańsk,PL,Poland,50.85,11.41,81.34,80.0,79.0,2023,PL006C,46.25,64.6,2023,PL006C,55.0,85.4,2023,PL006C,57.5,33.2,2023,PL006C,4,7,100.0,TRUE
PL011,Białystok,PL,Poland,38.68,14.59,70.72,93.75,83.5,2023,PL011C,63.75,68.0,2023,PL011C,65.62,86.1,2023,PL011C,92.5,52.6,2023,PL011C,4,7,100.0,TRUE
SE001,Stockholm,SE,Sweden,78.48,68.17,55.53,87.5,81.4,2023,SE001C,88.75,78.2,2023,SE001C,93.75,89.5,2023,SE001C,6.25,10.7,2023,SE001C,4,7,100.0,TRUE
SE003,Malmö,SE,Sweden,53.46,39.39,43.87,64.38,73.7,2023,SE003C,68.75,70.1,2023,SE003C,91.25,88.7,2023,SE003C,60.0,33.6,2023,SE003C,4,7,100.0,TRUE
