indicator,display_name,dimension,measure_type,geo_level,raw_unit,direction,normalization,source,years,caveat
environment_score,Environment composite score,Environment,composite,fua (composite),-,higher=better,weighted mean of component percentile scores (0.5/0.5),derived,component years retained separately,Requires BOTH components; no missing-component reweighting. PM2.5 score is direction-reversed (higher score = cleaner air).
mobility_score,Mobility composite score,Mobility,composite,fua (composite),-,higher=better,public transport accessibility percentile score (weight 1.0),derived,2023,Single-component composite; commuting mode shares remain contextual.
economic_opportunity_score,Economic Opportunity composite score,Economic Opportunity,composite,fua (composite),-,higher=better,weighted mean of component percentile scores (0.5/0.5),derived,component years retained separately,Requires BOTH components; unemployment score is direction-reversed (higher score = lower unemployment).
pm25,Mean PM2.5 population exposure,Environment,indicator,fua,ug/m3 (annual mean),higher=worse,"percentile rank, reversed (100 - rank/n x 100)",OECD DF_POLLUTION (modelled grids),2021-2025 (latest per system),"Modelled exposure + GHS-POP weighting, not ground monitors; 2025 rows verified observed."
green_area,Green area per inhabitant (urban centre),Environment,indicator,fua,m2/person,higher=better,percentile rank (rank/n x 100),OECD DF_GREEN_AREA (ESA WorldCover),2021 (single year),"Measured within the FUA urban centre only, not whole-FUA green cover."
public_transport_access,Population with access to public transport (15-minute walk),Mobility,indicator,fua,% population,higher=better,percentile rank (rank/n x 100),OECD DF_PT_ACCESS (GTFS),2023 (single year),Stop-proximity metric; no service-frequency dimension; 24 European countries only.
employment_rate,Employment rate (15-64),Economic Opportunity,indicator,fua,% of working-age population,higher=better,percentile rank (rank/n x 100),OECD DF_LABOUR (modelled TL3 allocation),2021-2024 (latest per system),Modelled by construction (GHSL population allocation) even where OBS_STATUS=A.
unemployment_rate,Unemployment rate (15-64),Economic Opportunity,indicator,fua,% of labour force,higher=worse,"percentile rank, reversed (100 - rank/n x 100)",OECD DF_LABOUR (modelled TL3 allocation),2021-2024 (latest per system),Modelled by construction; score reversed so higher = lower unemployment.
perceived_safety,Perceived safety: agree 'I feel safe walking at night after dark',Safety,perception_dimension,city_core,% of respondents (sum of strongly + somewhat agree),higher=better,percentile rank of agree share (rank/n x 100),Eurostat urb_percep 2023 wave (PS3514V+PS3515V),2023,City-core resident survey associated to the urban system - NOT FUA-wide (methodology SS1.3-1.4); ~80 cities.
community,Trust / community: agree 'Most people in my city can be trusted',Community,perception_dimension,city_core,% of respondents (sum of strongly + somewhat agree),higher=better,percentile rank of agree share (rank/n x 100),Eurostat urb_percep 2023 wave (PS3092V+PS3093V),2023,City-core survey; NOT FUA-wide; ~80 cities.
life_satisfaction,Life satisfaction: satisfied with 'the life you lead',Life Balance,perception_dimension,city_core,% of respondents (sum of very + fairly satisfied),higher=better,percentile rank of satisfied share (rank/n x 100),Eurostat urb_percep 2023 wave (PS3350V+PS3351V),2023,City-core survey; NOT FUA-wide; ~80 cities.
housing_satisfaction,Housing satisfaction: agree 'easy to find good housing at a reasonable price',Housing,perception_dimension,city_core,% of respondents (sum of strongly + somewhat agree),higher=better,percentile rank of agree share (rank/n x 100),Eurostat urb_percep 2023 wave (PS2032V+PS2033V),2023,Perceived housing SATISFACTION only - this is not a housing-affordability score; city-core survey; ~80 cities.
population,Population (total),Context,context,fua,persons,neutral (context),"none (descriptive field, never scored)",OECD DF_AGE_SEX,2000-2025 (latest per system),Context field for sizing/exclusion filters; modelled allocation by construction.
commuting_public_transport,Commuting mode share - public transport,Mobility (context),context,fua,% of commuting workers,higher=better (contextual),"none (context only, unscored)",OECD DF_TRAN_COMMUT (Eurostat urb_ltran republish),1990-2024 census vintages,Contextual per approved V1 Mobility definition; pre-2021 vintages flagged stale; excludes WFH.
commuting_bike,Commuting mode share - bicycle,Mobility (context),context,fua,% of commuting workers,higher=better (contextual),"none (context only, unscored)",OECD DF_TRAN_COMMUT,1990-2024 census vintages,Vintage mixing shifts ranks up to ~23 percentile points - always show as_of_year.
commuting_walk,Commuting mode share - walking,Mobility (context),context,fua,% of commuting workers,higher=better (contextual),"none (context only, unscored)",OECD DF_TRAN_COMMUT,1990-2024 census vintages,Contextual; report as_of_year.
commuting_car,Commuting mode share - car,Mobility (context),context,fua,% of commuting workers,higher=worse (contextual),"none (context only, unscored)",OECD DF_TRAN_COMMUT,1990-2024 census vintages,Contextual; report as_of_year.
